Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-12,1957.05,2021-01-12,1929.99,1904.44,1950.05,1964.14,1980.14,1995.66,Awaiting Targets
2021-01-15,8024.75,2021-01-15,8100.36,8242.09,8012.68,7941.82,7870.95,7770.06,Awaiting Targets
2021-01-21,8076.75,2021-01-21,8142.55,8041.01,8222.27,8278.26,8341.84,8403.53,Awaiting Targets
2021-01-27,7870.9,2021-01-27,7943.59,8028.05,7891.33,7849.1,7806.87,7746.74,Awaiting Targets
2021-02-03,7589.2,2021-02-02,7612.37,7411.64,7769.96,7880.64,8006.33,8128.27,Awaiting Targets
2021-01-01,279.4,2020-12-31,274.95,280.68,271.4,268.53,265.66,261.58,Awaiting Targets
2021-01-11,282.5,2021-01-11,284.58,286.04,283.67,282.94,282.21,281.17,Awaiting Targets
2021-01-18,294.45,2021-01-14,306.75,300.31,311.81,315.36,319.39,323.31,Stop Loss has occured
2021-01-19,298.6,2021-01-19,298.79,303.2,296.06,293.85,291.64,288.5,Awaiting Targets
2021-01-01,186.5,2020-12-21,170.15,171.88,169.07,168.2,167.34,166.1,Final Target Reached
2021-01-05,193.2,2021-01-05,189.81,191.79,188.59,187.6,186.61,185.2,Awaiting Targets
2021-02-02,322.0,2021-02-02,308.72,296.37,318.41,325.22,332.96,340.46,Awaiting Targets
2021-01-01,2928.25,2020-12-30,2923.35,2943.01,2911.19,2901.36,2891.53,2877.54,Final Target Reached
2021-01-07,3032.8,2021-01-05,3071.61,3027.58,3106.18,3130.46,3158.03,3184.77,Target 1 Reached
2021-01-13,3158.95,2021-01-13,3159.3,3225.57,3118.3,3085.17,3052.03,3004.86,Awaiting Targets
2021-01-18,3221.75,2021-01-18,3228.97,3196.1,3254.78,3272.9,3293.48,3313.45,Awaiting Targets
2021-01-22,3303.1,2021-01-22,3277.97,3311.14,3257.45,3240.86,3224.28,3200.67,Awaiting Targets
2021-02-04,3188.45,2021-02-02,3187.86,3124.58,3237.54,3272.43,3312.05,3350.49,Target 1 Reached
2021-01-01,596.25,2020-12-30,588.87,597.38,583.61,579.36,575.11,569.05,Target 1 Reached
2021-01-07,601.9,2021-01-07,603.49,606.98,601.33,599.58,597.83,595.35,Awaiting Targets
2021-01-20,947.7,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Target 1 Reached
2021-01-25,586.4,2021-01-22,578.91,584.33,575.56,572.86,570.15,566.29,Target 3 Reached
2021-01-01,381.95,2021-01-01,381.86,384.23,380.39,379.21,378.02,376.33,Awaiting Targets
2021-01-06,387.3,2021-01-05,392.61,389.08,395.38,397.33,399.54,401.69,Target 1 Reached
2021-01-08,400.15,2021-01-08,398.85,402.25,396.75,395.05,393.35,390.93,Awaiting Targets
2021-01-13,536.65,2021-01-12,510.36,516.06,506.84,503.99,501.14,497.09,Stop Loss has occured
2021-02-01,393.0,2021-02-01,389.87,378.37,398.9,405.24,412.45,419.44,Awaiting Targets
2021-01-01,99.05,2020-12-30,98.99,99.84,98.46,98.04,97.62,97.01,Target 2 Reached
2021-01-04,99.05,2021-01-04,99.32,98.84,99.7,99.96,100.27,100.56,Awaiting Targets
2021-01-06,97.85,2021-01-06,98.02,98.73,97.58,97.23,96.88,96.37,Awaiting Targets
2021-01-08,100.15,2021-01-08,98.9,98.44,99.26,99.52,99.8,100.08,Awaiting Targets
2021-01-15,100.45,2021-01-15,101.61,103.26,100.59,99.76,98.93,97.76,Awaiting Targets
2021-02-01,92.0,2021-02-01,90.54,87.23,93.13,94.96,97.03,99.03,Awaiting Targets
2021-01-01,389.7,2020-12-21,356.88,361.56,353.98,351.64,349.29,345.96,Target 3 Reached
2021-01-08,402.85,2021-01-08,405.53,399.37,410.37,413.76,417.62,421.36,Awaiting Targets
2021-01-12,399.55,2021-01-11,399.88,402.7,398.14,396.72,395.31,393.31,Target 1 Reached
2021-01-19,395.4,2021-01-19,390.23,382.22,396.53,400.95,405.96,410.83,Awaiting Targets
2021-01-25,382.45,2021-01-25,384.21,391.95,379.42,375.55,371.68,366.17,Awaiting Targets
2021-02-01,380.85,2021-02-01,373.85,367.06,379.19,382.94,387.19,391.32,Awaiting Targets
2021-01-01,388.1,2020-12-30,384.7,389.77,381.57,379.04,376.5,372.9,
2021-01-11,446.8,2020-12-30,384.7,389.77,381.57,379.04,376.5,372.9,Target 1 Reached
2021-01-14,454.35,2021-01-14,450.59,466.14,440.97,433.2,425.43,414.36,Awaiting Targets
2021-01-20,947.7,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Target 1 Reached
2021-01-21,445.8,2021-01-21,448.29,440.09,454.72,459.24,464.37,469.35,Awaiting Targets
2021-01-01,515.15,2020-12-30,519.06,524.94,515.43,512.49,509.55,505.37,Target 3 Reached
2021-01-06,525.3,2021-01-06,521.29,517.63,524.16,526.18,528.47,530.69,Awaiting Targets
2021-01-18,586.95,2021-01-15,604.16,600.24,607.24,609.4,611.85,614.23,Stop Loss has occured
2021-01-19,592.3,2021-01-19,591.84,600.72,586.34,581.9,577.46,571.13,Awaiting Targets
2021-01-29,553.6,2021-01-29,565.3,556.38,572.31,577.23,582.82,588.24,Awaiting Targets
2021-01-01,3102.65,2020-12-18,3120.33,3086.43,3146.94,3165.63,3186.86,3207.45,Target 1 Reached
2021-01-04,3043.85,2021-01-01,3107.86,3167.39,3071.03,3041.26,3011.5,2969.12,Target 2 Reached
2021-01-08,3161.1,2021-01-08,3115.04,3095.15,3130.66,3141.62,3154.08,3166.16,Awaiting Targets
2021-01-15,3203.0,2021-01-15,3224.46,3284.62,3187.25,3157.17,3127.09,3084.27,Awaiting Targets
2021-01-20,947.7,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Target 1 Reached
2021-01-21,3247.3,2021-01-20,3259.35,3218.99,3291.04,3313.29,3338.56,3363.08,Target 3 Reached
2021-01-27,3358.55,2021-01-27,3405.63,3480.73,3359.17,3321.61,3284.06,3230.6,Awaiting Targets
2021-02-03,3380.8,2021-02-03,3341.84,3284.54,3386.82,3418.42,3454.29,3489.1,Awaiting Targets
2021-01-08,1014.9,2021-01-07,1085.67,1097.49,1078.36,1072.45,1066.55,1058.13,
